index,nationality_name,value
1,Qatar,카타르
2,Ecuador,에콰도르
3,Senegal,세네갈
4,Netherlands,네덜란드
5,England,잉글랜드
6,Iran,이란
7,United States,미국
8,Wales,웨일스
9,Argentina,아르헨티나
10,Saudi Arabia,사우디아라비아
11,Mexico,멕시코
12,Poland,폴란드
13,France,프랑스
14,Australia,호주
15,Denmark,덴마크
16,Tunisia,튀니지
17,Spain,스페인
18,Costa Rica,코스타리카
19,Germany,독일
20,Japan,일본
21,Belgium,벨기에
22,Canada,캐나다
23,Morocco,모로코
24,Croatia,크로아티아
25,Brazil,브라질
26,Serbia,세르비아
27,Switzerland,스위스
28,Cameroon,카메룬
29,Portugal,포르투갈
30,Ghana,가나
31,Uruguay,우루과이
32,Korea Republic,대한민국
